Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,0.09988,0.1051,0.1103,0.1154,0.1206
2,0.09989,0.1043,0.1086,0.1127,0.1168
3,0.09998,0.1035,0.1068,0.1099,0.1129
4,0.09992,0.1025,0.1049,0.1071,0.1091
5,0.1,0.1016,0.103,0.1042,0.1053
6,0.09997,0.1005,0.1008,0.1009,0.1008
7,0.1,0.09926,0.09833,0.0973,0.09619
8,0.1001,0.09757,0.09508,0.09259,0.09016
9,0.1001,0.09513,0.09045,0.08602,0.08182
10,0.1002,0.09053,0.08178,0.07376,0.06641
