Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,0.09991,0.1041,0.1082,0.1124,0.1166
2,0.09991,0.1036,0.1072,0.1107,0.1142
3,0.09995,0.1031,0.106,0.1089,0.1116
4,0.09994,0.1024,0.1047,0.1067,0.1087
5,0.1,0.1017,0.1032,0.1044,0.1055
6,0.09999,0.1007,0.1013,0.1016,0.1018
7,0.09998,0.09959,0.09903,0.09834,0.09754
8,0.1,0.09804,0.09599,0.09393,0.09185
9,0.1001,0.09575,0.09161,0.08766,0.08389
10,0.1002,0.09109,0.08284,0.07528,0.06835
