Trading period,\( \lambda = 0.0 \),\( \lambda = 0.25 \),\( \lambda = 0.5 \),\( \lambda = 0.75 \),\( \lambda = 1.0 \)
1,5.585e-5,0.0008381,0.001635,0.002421,0.003206
2,8.074e-5,0.001098,0.002052,0.002934,0.00368
3,2.75e-5,0.00123,0.002296,0.003214,0.003968
4,5.473e-6,0.001173,0.002135,0.002934,0.003613
5,-8.657e-5,0.00101,0.00193,0.002663,0.003237
6,-8.069e-5,0.0007543,0.001456,0.001985,0.002396
7,2.533e-5,0.0004019,0.0006774,0.0008761,0.001029
8,-1.239e-5,-0.0004103,-0.0008154,-0.001178,-0.001485
9,-4.599e-5,-0.001663,-0.003092,-0.004342,-0.005391
10,3.076e-5,-0.004431,-0.008273,-0.01151,-0.01425
