Trading period,\( \lambda = 1.0e-6 \),\( \lambda = 1.0e-5 \),\( \lambda = 0.0001 \),\( \lambda = 0.001 \)
1,0.06701,0.1966,0.4937,0.8499
2,0.06252,0.158,0.25,0.1276
3,0.05833,0.1269,0.1266,0.01914
4,0.05442,0.102,0.06408,0.002873
5,0.05078,0.08191,0.03245,0.0004312
6,0.04737,0.0658,0.01643,6.471e-5
7,0.0442,0.05286,0.008318,9.711e-6
8,0.04124,0.04247,0.004212,1.457e-6
9,0.03847,0.03412,0.002133,2.187e-7
10,0.0359,0.02741,0.00108,3.282e-8
11,0.03349,0.02202,0.0005467,4.926e-9
12,0.03125,0.01769,0.0002768,7.393e-10
13,0.02915,0.01421,0.0001402,1.11e-10
14,0.0272,0.01142,7.097e-5,1.665e-11
15,0.02538,0.009171,3.593e-5,2.5e-12
16,0.02368,0.007367,1.819e-5,3.708e-13
17,0.02209,0.005919,9.212e-6,5.431e-14
18,0.02061,0.004755,4.664e-6,8.271e-15
19,0.01923,0.00382,2.362e-6,1.343e-15
20,0.01794,0.003069,1.196e-6,-3.397e-15
21,0.01674,0.002465,6.054e-7,1.019e-15
22,0.01562,0.00198,3.066e-7,-2.335e-15
23,0.01457,0.001591,1.552e-7,3.965e-15
24,0.01359,0.001278,7.859e-8,-6.261e-15
25,0.01268,0.001027,3.979e-8,1.121e-15
26,0.01183,0.0008249,2.015e-8,2.083e-15
27,0.01104,0.0006627,1.02e-8,-6.939e-16
28,0.0103,0.0005324,5.165e-9,7.819e-15
29,0.009609,0.0004277,2.615e-9,-6.458e-15
30,0.008965,0.0003436,1.324e-9,-6.148e-15
31,0.008365,0.000276,6.705e-10,3.586e-16
32,0.007804,0.0002217,3.395e-10,5.494e-16
33,0.007281,0.0001781,1.719e-10,6.128e-15
34,0.006794,0.0001431,8.703e-11,2.189e-15
35,0.006338,0.000115,4.406e-11,-1.03e-14
36,0.005914,9.236e-5,2.231e-11,-5.296e-15
37,0.005518,7.42e-5,1.129e-11,5.513e-15
38,0.005148,5.961e-5,5.722e-12,-6.757e-16
39,0.004803,4.789e-5,2.895e-12,1.586e-15
40,0.004481,3.847e-5,1.468e-12,-1.207e-15
41,0.004181,3.091e-5,7.478e-13,-7.817e-15
42,0.003901,2.483e-5,3.866e-13,-4.573e-16
43,0.00364,1.995e-5,2.145e-13,1.372e-14
44,0.003396,1.602e-5,6.21e-14,-2.79e-15
45,0.003169,1.287e-5,4.233e-14,2.932e-15
46,0.002957,1.034e-5,1.687e-14,-6.499e-15
47,0.002759,8.308e-6,1.31e-14,8.705e-16
48,0.002574,6.674e-6,4.247e-15,-1.136e-14
49,0.002402,5.362e-6,7.959e-15,1.252e-15
50,0.002241,4.307e-6,6.778e-16,3.877e-15
51,0.002091,3.46e-6,3.801e-16,-1.255e-15
52,0.001951,2.78e-6,4.346e-15,-3.718e-15
53,0.001821,2.233e-6,1.136e-15,-3.641e-15
54,0.001699,1.794e-6,4.832e-15,1.408e-14
55,0.001586,1.441e-6,-9.003e-15,-1.303e-14
56,0.00148,1.158e-6,1.434e-15,9.484e-15
57,0.001381,9.302e-7,-9.292e-15,-2.121e-15
58,0.001289,7.473e-7,7.206e-15,1.439e-14
59,0.001203,6.003e-7,3.362e-15,-6.788e-15
60,0.001123,4.823e-7,3.921e-15,-5.37e-15
61,0.001048,3.874e-7,5.285e-15,1.401e-15
62,0.0009787,3.113e-7,-8.179e-16,2.004e-15
63,0.0009137,2.5e-7,6.86e-15,-8.154e-16
64,0.0008532,2.009e-7,-3.372e-15,-1.722e-15
65,0.0007968,1.614e-7,2.616e-15,-5.539e-15
66,0.0007442,1.296e-7,3.84e-15,1.323e-14
67,0.0006952,1.042e-7,-1.301e-14,9.227e-15
68,0.0006495,8.367e-8,1.122e-14,6.549e-15
69,0.000607,6.722e-8,-2.028e-15,-3.326e-15
70,0.0005673,5.4e-8,6.637e-15,-1.359e-15
71,0.0005304,4.338e-8,3.515e-15,-4.702e-15
72,0.0004961,3.485e-8,-3.158e-15,-1.09e-14
73,0.0004642,2.8e-8,4.96e-15,1.066e-14
74,0.0004344,2.249e-8,-1.578e-14,1.69e-14
75,0.0004068,1.807e-8,4.262e-15,-1.499e-14
76,0.0003811,1.452e-8,-4.511e-16,3.654e-15
77,0.0003573,1.166e-8,-4.023e-15,-1.342e-14
78,0.0003352,9.369e-9,1.675e-14,2.55e-14
79,0.0003147,7.527e-9,-4.006e-15,-2.248e-14
80,0.0002957,6.047e-9,-1.639e-14,-2.546e-15
81,0.0002782,4.858e-9,2.744e-14,3.232e-14
82,0.0002619,3.903e-9,-3.823e-15,-1.551e-14
83,0.000247,3.136e-9,-1.46e-14,-1.863e-14
84,0.0002332,2.52e-9,-3.758e-15,1.985e-14
85,0.0002206,2.025e-9,8.676e-15,3.92e-15
86,0.000209,1.628e-9,7.77e-15,-5.08e-15
87,0.0001984,1.309e-9,-2.762e-15,-2.252e-14
88,0.0001888,1.053e-9,-7.632e-15,1.468e-14
89,0.0001801,8.481e-10,1.47e-14,-1.286e-14
90,0.0001722,6.838e-10,3.526e-14,3.866e-15
91,0.0001652,5.523e-10,-3.41e-14,-3.532e-15
92,0.000159,4.475e-10,3.39e-14,-8.24e-15
93,0.0001535,3.641e-10,2.972e-14,6.745e-15
94,0.0001488,2.983e-10,6.642e-14,8.794e-15
95,0.0001448,2.469e-10,3.612e-14,1.223e-15
96,0.0001415,2.073e-10,9.73e-14,-2.202e-15
97,0.0001388,1.777e-10,-1.877e-14,3.279e-14
98,0.0001369,1.567e-10,-2.594e-13,3.278e-14
99,0.0001356,1.432e-10,-1.076e-12,-2.584e-13
100,0.0001349,1.368e-10,1.078e-12,2.013e-13
